ポケモン名,タイプ1,タイプ2,H,A,B,C,D,S,とくせい1,とくせい2,とくせい3,ポケ徹ID,ポケ徹リンク種別
ニドキング,どく,じめん,81,102,77,85,75,85,どくのトゲ,とうそうしん,ちからずく,n34,exact
ピィ,フェアリー,,50,25,28,45,55,15,メロメロボディ,マジックガード,フレンドガード,n173,exact
ピッピ,フェアリー,,70,45,48,60,65,35,メロメロボディ,マジックガード,フレンドガード,n35,exact
ピクシー,フェアリー,,95,70,73,95,90,60,メロメロボディ,マジックガード,てんねん,n36,exact
ロコン,ほのお,,38,41,40,50,65,65,もらいび,ひでり,,n37,exact
ロコン(アローラ),こおり,,38,41,40,50,65,65,ゆきがくれ,ゆきふらし,,n37a,exact
キュウコン,ほのお,,73,76,75,81,100,100,もらいび,ひでり,,n38,exact
キュウコン(アローラ),こおり,フェアリー,73,67,75,81,100,109,ゆきがくれ,ゆきふらし,,n38a,exact
ププリン,ノーマル,フェアリー,90,30,15,40,20,15,メロメロボディ,かちき,フレンドガード,n174,exact
プリン,ノーマル,フェアリー,115,45,20,45,25,20,メロメロボディ,かちき,フレンドガード,n39,exact
プクリン,ノーマル,フェアリー,140,70,45,85,50,45,メロメロボディ,かちき,おみとおし,n40,exact
ズバット,どく,ひこう,40,45,35,30,40,55,せいしんりょく,すりぬけ,,n41,exact
ゴルバット,どく,ひこう,75,80,70,65,75,90,せいしんりょく,すりぬけ,,n42,exact
クロバット,どく,ひこう,85,90,80,70,80,130,せいしんりょく,すりぬけ,,n169,exact
ナゾノクサ,くさ,どく,45,50,55,75,65,30,ようりょくそ,にげあし,,n43,exact
クサイハナ,くさ,どく,60,65,70,85,75,40,ようりょくそ,あくしゅう,,n44,exact
ラフレシア,くさ,どく,75,80,85,110,90,50,ようりょくそ,ほうし,,n45,exact
キレイハナ,くさ,,75,80,95,90,100,50,ようりょくそ,いやしのこころ,,n182,exact
パラス,むし,くさ,35,70,55,45,55,25,ほうし,かんそうはだ,しめりけ,n46,exact
パラセクト,むし,くさ,60,95,80,60,80,30,ほうし,かんそうはだ,しめりけ,n47,exact
コンパン,むし,どく,60,55,50,40,55,45,ふくがん,いろめがね,にげあし,n48,exact
モルフォン,むし,どく,70,65,60,90,75,90,りんぷん,いろめがね,ミラクルスキン,n49,exact
ディグダ,じめん,,10,55,25,35,45,95,すながくれ,ありじごく,すなのちから,n50,exact
ディグダ(アローラ),じめん,はがね,10,55,30,35,45,90,すながくれ,カーリーヘアー,すなのちから,n50a,exact
ダグトリオ,じめん,,35,100,50,50,70,120,すながくれ,ありじごく,すなのちから,n51,exact
ダグトリオ(アローラ),じめん,はがね,35,100,60,50,70,110,すながくれ,カーリーヘアー,すなのちから,n51a,exact
ニャース,ノーマル,,40,45,35,40,40,90,ものひろい,テクニシャン,きんちょうかん,n52,exact
ニャース(アローラ),あく,,40,35,35,50,40,90,ものひろい,テクニシャン,びびり,n52a,exact
ニャース(ガラル),はがね,,50,65,55,40,40,40,ものひろい,かたいツメ,きんちょうかん,n52g,exact
ペルシアン,ノーマル,,65,70,60,65,65,115,じゅうなん,テクニシャン,きんちょうかん,n53,exact
ペルシアン(アローラ),あく,,65,60,60,75,65,115,ファーコート,テクニシャン,びびり,n53a,exact
コダック,みず,,50,52,48,65,50,55,しめりけ,ノーてんき,すいすい,n54,exact
ゴルダック,みず,,80,82,78,95,80,85,しめりけ,ノーてんき,すいすい,n55,exact
マンキー,かくとう,,40,80,35,35,45,70,やるき,いかりのつぼ,まけんき,n56,exact
オコリザル,かくとう,,65,105,60,60,70,95,やるき,いかりのつぼ,まけんき,n57,exact
ガーディ,ほのお,,55,70,45,70,50,60,いかく,もらいび,せいぎのこころ,n58,exact
ウインディ,ほのお,,90,110,80,100,80,95,いかく,もらいび,せいぎのこころ,n59,exact
ニョロモ,みず,,40,50,40,40,40,90,ちょすい,しめりけ,すいすい,n60,exact
ニョロゾ,みず,,65,65,65,50,50,90,ちょすい,しめりけ,すいすい,n61,exact
ニョロボン,みず,かくとう,90,95,95,70,90,70,ちょすい,しめりけ,すいすい,n62,exact
ニョロトノ,みず,,90,75,75,90,100,70,ちょすい,しめりけ,あめふらし,n186,exact
ケーシィ,エスパー,,25,20,15,105,55,90,シンクロ,せいしんりょく,マジックガード,n63,exact
ユンゲラー,エスパー,,40,35,30,120,70,105,シンクロ,せいしんりょく,マジックガード,n64,exact
フーディン,エスパー,,55,50,45,135,95,120,シンクロ,せいしんりょく,マジックガード,n65,exact
メガフーディン,エスパー,,55,50,65,175,105,150,トレース,,,n65m,exact
ワンリキー,かくとう,,70,80,50,35,35,35,こんじょう,ノーガード,ふくつのこころ,n66,exact
ゴーリキー,かくとう,,80,100,70,50,60,45,こんじょう,ノーガード,ふくつのこころ,n67,exact
カイリキー,かくとう,,90,130,80,65,85,55,こんじょう,ノーガード,ふくつのこころ,n68,exact
マダツボミ,くさ,どく,50,75,35,70,30,40,ようりょくそ,くいしんぼう,,n69,exact
ウツドン,くさ,どく,65,90,50,85,45,55,ようりょくそ,くいしんぼう,,n70,exact
ウツボット,くさ,どく,80,105,65,100,70,70,ようりょくそ,くいしんぼう,,n71,exact
メノクラゲ,みず,どく,40,40,35,50,100,70,クリアボディ,ヘドロえき,あめうけざら,n72,exact
ドククラゲ,みず,どく,80,70,65,80,120,100,クリアボディ,ヘドロえき,あめうけざら,n73,exact
イシツブテ,いわ,じめん,40,80,100,30,30,20,いしあたま,がんじょう,すながくれ,n74,exact
イシツブテ(アローラ),いわ,でんき,40,80,100,30,30,20,じりょく,がんじょう,エレキスキン,n74a,exact
ゴローン,いわ,じめん,55,95,115,45,45,35,いしあたま,がんじょう,すながくれ,n75,exact
ゴローン(アローラ),いわ,でんき,55,95,115,45,45,35,じりょく,がんじょう,エレキスキン,n75a,exact
ゴローニャ,いわ,じめん,80,120,130,55,65,45,いしあたま,がんじょう,すながくれ,n76,exact
ゴローニャ(アローラ),いわ,でんき,80,120,130,55,65,45,じりょく,がんじょう,エレキスキン,n76a,exact
ポニータ,ほのお,,50,85,55,65,65,90,にげあし,もらいび,ほのおのからだ,n77,exact
ポニータ(ガラル),エスパー,,50,85,55,65,65,90,にげあし,パステルベール,きけんよち,n77g,exact
ギャロップ,ほのお,,65,100,70,80,80,105,にげあし,もらいび,ほのおのからだ,n78,exact
ギャロップ(ガラル),エスパー,フェアリー,65,100,70,80,80,105,にげあし,パステルベール,きけんよち,n78g,exact
ヤドン,みず,エスパー,90,65,65,40,40,15,どんかん,マイペース,さいせいりょく,n79,exact
ヤドン(ガラル),エスパー,,90,65,65,40,40,15,くいしんぼう,マイペース,さいせいりょく,n79g,exact
ヤドラン,みず,エスパー,95,75,110,100,80,30,どんかん,マイペース,さいせいりょく,n80,exact
メガヤドラン,みず,エスパー,95,75,180,130,80,30,シェルアーマー,,,n80m,exact
ヤドラン(ガラル),どく,エスパー,95,100,95,100,70,30,クイックドロウ,マイペース,さいせいりょく,n80g,exact
ヤドキング,みず,エスパー,95,75,80,100,110,30,どんかん,マイペース,さいせいりょく,n199,exact
ヤドキング(ガラル),どく,エスパー,95,65,80,110,110,30,きみょうなくすり,マイペース,さいせいりょく,n199g,exact
コイル,でんき,はがね,25,35,70,95,55,45,じりょく,がんじょう,アナライズ,n81,exact
レアコイル,でんき,はがね,50,60,95,120,70,70,じりょく,がんじょう,アナライズ,n82,exact
ジバコイル,でんき,はがね,70,70,115,130,90,60,じりょく,がんじょう,アナライズ,n462,exact
カモネギ,ノーマル,ひこう,52,90,55,58,62,60,するどいめ,せいしんりょく,まけんき,n83,exact
カモネギ(ガラル),かくとう,,52,95,55,58,62,55,ふくつのこころ,きもったま,,n83g,exact
ドードー,ノーマル,ひこう,35,85,45,35,35,75,にげあし,はやおき,ちどりあし,n84,exact
ドードリオ,ノーマル,ひこう,60,110,70,60,60,110,にげあし,はやおき,ちどりあし,n85,exact
パウワウ,みず,,65,45,55,45,70,45,あついしぼう,うるおいボディ,アイスボディ,n86,exact
ジュゴン,みず,こおり,90,70,80,70,95,70,あついしぼう,うるおいボディ,アイスボディ,n87,exact
ベトベター,どく,,80,80,50,40,50,25,あくしゅう,ねんちゃく,どくしゅ,n88,exact
ベトベター(アローラ),どく,あく,80,80,50,40,50,25,どくしゅ,くいしんぼう,かがくのちから,n88a,exact
ベトベトン,どく,,105,105,75,65,100,50,あくしゅう,ねんちゃく,どくしゅ,n89,exact
ベトベトン(アローラ),どく,あく,105,105,75,65,100,50,どくしゅ,くいしんぼう,かがくのちから,n89a,exact
シェルダー,みず,,30,65,100,45,25,40,シェルアーマー,スキルリンク,ぼうじん,n90,exact
パルシェン,みず,こおり,50,95,180,85,45,70,シェルアーマー,スキルリンク,ぼうじん,n91,exact
ゴース,ゴースト,どく,30,35,30,100,35,80,ふゆう,,,n92,exact
ゴースト,ゴースト,どく,45,50,45,115,55,95,ふゆう,,,n93,exact
ゲンガー,ゴースト,どく,60,65,60,130,75,110,のろわれボディ,,,n94,exact
メガゲンガー,ゴースト,どく,60,65,80,170,95,130,かげふみ,,,n94m,exact
イワーク,いわ,じめん,35,45,160,30,45,70,いしあたま,がんじょう,くだけるよろい,n95,exact
ハガネール,はがね,じめん,75,85,200,55,65,30,いしあたま,がんじょう,ちからずく,n208,exact
メガハガネール,はがね,じめん,75,125,230,55,95,30,すなのちから,,,n208m,exact
スリープ,エスパー,,60,48,45,43,90,42,ふみん,よちむ,せいしんりょく,n96,exact
スリーパー,エスパー,,85,73,70,73,115,67,ふみん,よちむ,せいしんりょく,n97,exact
クラブ,みず,,30,105,90,25,25,50,かいりきバサミ,シェルアーマー,ちからずく,n98,exact
キングラー,みず,,55,130,115,50,50,75,かいりきバサミ,シェルアーマー,ちからずく,n99,exact
ビリリダマ,でんき,,40,30,50,55,55,100,ぼうおん,せいでんき,ゆうばく,n100,exact
マルマイン,でんき,,60,50,70,80,80,150,ぼうおん,せいでんき,ゆうばく,n101,exact
タマタマ,くさ,エスパー,60,40,80,60,45,40,ようりょくそ,しゅうかく,,n102,exact
ナッシー,くさ,エスパー,95,95,85,125,75,55,ようりょくそ,しゅうかく,,n103,exact
ナッシー(アローラ),くさ,ドラゴン,95,105,85,125,75,45,おみとおし,しゅうかく,,n103a,exact
カラカラ,じめん,,50,50,95,40,50,35,いしあたま,ひらいしん,カブトアーマー,n104,exact
ガラガラ,じめん,,60,80,110,50,80,45,いしあたま,ひらいしん,カブトアーマー,n105,exact
ガラガラ(アローラ),ほのお,ゴースト,60,80,110,50,80,45,のろわれボディ,ひらいしん,いしあたま,n105a,exact
ガラガラ(ぬし),ほのお,ゴースト,60,80,110,50,80,45,のろわれボディ,ひらいしん,いしあたま,n105,species
バルキー,かくとう,,35,35,35,35,35,35,こんじょう,ふくつのこころ,やるき,n236,exact
サワムラー,かくとう,,50,120,53,35,110,87,じゅうなん,すてみ,かるわざ,n106,exact
エビワラー,かくとう,,50,105,79,35,110,76,するどいめ,てつのこぶし,せいしんりょく,n107,exact
カポエラー,かくとう,,50,95,95,35,110,70,いかく,テクニシャン,ふくつのこころ,n237,exact
ベロリンガ,ノーマル,,90,55,75,60,75,30,マイペース,どんかん,ノーてんき,n108,exact
ベロベルト,ノーマル,,110,85,95,80,95,50,マイペース,どんかん,ノーてんき,n463,exact
ドガース,どく,,40,65,95,60,45,35,ふゆう,かがくへんかガス,あくしゅう,n109,exact
マタドガス,どく,,65,90,120,85,70,60,ふゆう,かがくへんかガス,あくしゅう,n110,exact
マタドガス(ガラル),どく,フェアリー,65,90,120,85,70,60,ふゆう,かがくへんかガス,ミストメイカー,n110g,exact
サイホーン,じめん,いわ,80,85,95,30,30,25,ひらいしん,いしあたま,すてみ,n111,exact
サイドン,じめん,いわ,105,130,120,45,45,40,ひらいしん,いしあたま,すてみ,n112,exact
ドサイドン,じめん,いわ,115,140,130,55,55,40,ひらいしん,ハードロック,すてみ,n464,exact
ピンプク,ノーマル,,100,5,5,15,65,30,しぜんかいふく,てんのめぐみ,フレンドガード,n440,exact
ラッキー,ノーマル,,250,5,5,35,105,50,しぜんかいふく,てんのめぐみ,いやしのこころ,n113,exact
ハピナス,ノーマル,,255,10,10,75,135,55,しぜんかいふく,てんのめぐみ,いやしのこころ,n242,exact
モンジャラ,くさ,,65,55,115,100,40,60,ようりょくそ,リーフガード,さいせいりょく,n114,exact
モジャンボ,くさ,,100,100,125,110,50,50,ようりょくそ,リーフガード,さいせいりょく,n465,exact
ガルーラ,ノーマル,,105,95,80,40,80,90,はやおき,きもったま,せいしんりょく,n115,exact
メガガルーラ,ノーマル,,105,125,100,60,100,100,おやこあい,,,n115m,exact
タッツー,みず,,30,40,70,70,25,60,すいすい,スナイパー,しめりけ,n116,exact
シードラ,みず,,55,65,95,95,45,85,どくのトゲ,スナイパー,しめりけ,n117,exact
キングドラ,みず,ドラゴン,75,95,95,95,95,85,すいすい,スナイパー,しめりけ,n230,exact
トサキント,みず,,45,67,60,35,50,63,すいすい,みずのベール,ひらいしん,n118,exact
アズマオウ,みず,,80,92,65,65,80,68,すいすい,みずのベール,ひらいしん,n119,exact
ヒトデマン,みず,,30,45,55,70,55,85,はっこう,しぜんかいふく,アナライズ,n120,exact
スターミー,みず,エスパー,60,75,85,100,85,115,はっこう,しぜんかいふく,アナライズ,n121,exact
マネネ,エスパー,フェアリー,20,25,45,70,90,60,ぼうおん,フィルター,テクニシャン,n439,exact
バリヤード,エスパー,フェアリー,40,45,65,100,120,90,ぼうおん,フィルター,テクニシャン,n122,exact
バリヤード(ガラル),こおり,エスパー,50,65,65,90,90,100,やるき,バリアフリー,アイスボディ,n122g,exact
ストライク,むし,ひこう,70,110,80,55,80,105,むしのしらせ,テクニシャン,ふくつのこころ,n123,exact
ハッサム,むし,はがね,70,130,100,55,80,65,むしのしらせ,テクニシャン,ライトメタル,n212,exact
メガハッサム,むし,はがね,70,150,140,65,100,75,テクニシャン,,,n212m,exact
ムチュール,こおり,エスパー,45,30,15,85,65,65,どんかん,よちむ,うるおいボディ,n238,exact
ルージュラ,こおり,エスパー,65,50,35,115,95,95,どんかん,よちむ,かんそうはだ,n124,exact
エレキッド,でんき,,45,63,37,65,55,95,せいでんき,やるき,,n239,exact
エレブー,でんき,,65,83,57,95,85,105,せいでんき,やるき,,n125,exact
エレキブル,でんき,,75,123,67,95,85,95,でんきエンジン,やるき,,n466,exact
ブビィ,ほのお,,45,75,37,70,55,83,ほのおのからだ,やるき,,n240,exact
ブーバー,ほのお,,65,95,57,100,85,93,ほのおのからだ,やるき,,n126,exact
ブーバーン,ほのお,,75,95,67,125,95,83,ほのおのからだ,やるき,,n467,exact
カイロス,むし,,65,125,100,55,70,85,かいりきバサミ,かたやぶり,じしんかじょう,n127,exact
メガカイロス,むし,ひこう,65,155,120,65,90,105,スカイスキン,,,n127m,exact
ケンタロス,ノーマル,,75,100,95,40,70,110,いかく,いかりのつぼ,ちからずく,n128,exact
コイキング,みず,,20,10,55,15,20,80,すいすい,びびり,,n129,exact
ギャラドス,みず,ひこう,95,125,79,60,100,81,いかく,じしんかじょう,,n130,exact
メガギャラドス,みず,あく,95,155,109,70,130,81,かたやぶり,,,n130m,exact
ラプラス,みず,こおり,130,85,80,85,95,60,ちょすい,シェルアーマー,うるおいボディ,n131,exact
メタモン,ノーマル,,48,48,48,48,48,48,じゅうなん,かわりもの,,n132,exact
イーブイ,ノーマル,,55,55,50,45,65,55,にげあし,てきおうりょく,きけんよち,n133,exact
イーブイ(相棒),ノーマル,,65,75,70,65,85,75,にげあし,てきおうりょく,きけんよち,n133,species
シャワーズ,みず,,130,65,60,110,95,65,ちょすい,うるおいボディ,,n134,exact
サンダース,でんき,,65,65,60,110,95,130,ちくでん,はやあし,,n135,exact
ブースター,ほのお,,65,130,60,95,110,65,もらいび,こんじょう,,n136,exact
エーフィ,エスパー,,65,65,60,130,95,110,シンクロ,マジックミラー,,n196,exact
ブラッキー,あく,,95,65,110,60,130,65,シンクロ,せいしんりょく,,n197,exact
リーフィア,くさ,,65,110,130,60,65,95,リーフガード,ようりょくそ,,n470,exact
グレイシア,こおり,,65,60,110,130,95,65,ゆきがくれ,アイスボディ,,n471,exact
ニンフィア,フェアリー,,95,65,65,110,130,60,メロメロボディ,フェアリースキン,,n700,exact
ポリゴン,ノーマル,,65,60,70,85,75,40,トレース,ダウンロード,アナライズ,n137,exact
ポリゴン2,ノーマル,,85,80,90,105,95,60,トレース,ダウンロード,アナライズ,n233,exact
ポリゴンZ,ノーマル,,85,80,70,135,75,90,てきおうりょく,ダウンロード,アナライズ,n474,exact
オムナイト,いわ,みず,35,40,100,90,55,35,すいすい,シェルアーマー,くだけるよろい,n138,exact
オムスター,いわ,みず,70,60,125,115,70,55,すいすい,シェルアーマー,くだけるよろい,n139,exact
カブト,いわ,みず,30,80,90,55,45,55,すいすい,カブトアーマー,くだけるよろい,n140,exact
カブトプス,いわ,みず,60,115,105,65,70,80,すいすい,カブトアーマー,くだけるよろい,n141,exact
プテラ,いわ,ひこう,80,105,65,60,75,130,いしあたま,プレッシャー,きんちょうかん,n142,exact
メガプテラ,いわ,ひこう,80,135,85,70,95,150,かたいツメ,,,n142m,exact
ゴンベ,ノーマル,,135,85,40,40,85,5,ものひろい,あついしぼう,くいしんぼう,n446,exact
カビゴン,ノーマル,,160,110,65,65,110,30,めんえき,あついしぼう,くいしんぼう,n143,exact
フリーザー,こおり,ひこう,90,85,100,95,125,85,プレッシャー,ゆきがくれ,,n144,exact
フリーザー(ガラル),エスパー,ひこう,90,85,85,125,100,95,かちき,,,n144g,exact
サンダー,でんき,ひこう,90,90,85,125,90,100,プレッシャー,せいでんき,,n145,exact
サンダー(ガラル),かくとう,ひこう,90,125,90,85,90,100,まけんき,,,n145g,exact
ファイヤー,ほのお,ひこう,90,100,90,125,85,90,プレッシャー,ほのおのからだ,,n146,exact
ファイヤー(ガラル),あく,ひこう,90,85,90,100,125,90,ぎゃくじょう,,,n146g,exact
ミニリュウ,ドラゴン,,41,64,45,50,50,50,だっぴ,ふしぎなうろこ,,n147,exact
ハクリュー,ドラゴン,,61,84,65,70,70,70,だっぴ,ふしぎなうろこ,,n148,exact
カイリュー,ドラゴン,ひこう,91,134,95,100,100,80,せいしんりょく,マルチスケイル,,n149,exact
ミュウツー,エスパー,,106,110,90,154,90,130,プレッシャー,きんちょうかん,,n150,exact
メガミュウツーX,エスパー,かくとう,106,190,100,154,100,130,ふくつのこころ,,,n150x,exact
メガミュウツーY,エスパー,,106,150,70,194,120,140,ふみん,,,n150y,exact
ミュウ,エスパー,,100,100,100,100,100,100,シンクロ,,,n151,exact
チコリータ,くさ,,45,49,65,49,65,45,しんりょく,リーフガード,,n152,exact
ベイリーフ,くさ,,60,62,80,63,80,60,しんりょく,リーフガード,,n153,exact
メガニウム,くさ,,80,82,100,83,100,80,しんりょく,リーフガード,,n154,exact
ヒノアラシ,ほのお,,39,52,43,60,50,65,もうか,もらいび,,n155,exact
マグマラシ,ほのお,,58,64,58,80,65,80,もうか,もらいび,,n156,exact
バクフーン,ほのお,,78,84,78,109,85,100,もうか,もらいび,,n157,exact
ワニノコ,みず,,50,65,64,44,48,43,げきりゅう,ちからずく,,n158,exact
アリゲイツ,みず,,65,80,80,59,63,58,げきりゅう,ちからずく,,n159,exact
オーダイル,みず,,85,105,100,79,83,78,げきりゅう,ちからずく,,n160,exact
オタチ,ノーマル,,35,46,34,35,45,20,にげあし,するどいめ,おみとおし,n161,exact
オオタチ,ノーマル,,85,76,64,45,55,90,にげあし,するどいめ,おみとおし,n162,exact
ホーホー,ノーマル,ひこう,60,30,30,36,56,50,ふみん,するどいめ,いろめがね,n163,exact
ヨルノズク,ノーマル,ひこう,100,50,50,86,96,70,ふみん,するどいめ,いろめがね,n164,exact
レディバ,むし,ひこう,40,20,30,40,80,55,むしのしらせ,はやおき,びびり,n165,exact
レディアン,むし,ひこう,55,35,50,55,110,85,むしのしらせ,はやおき,てつのこぶし,n166,exact
イトマル,むし,どく,40,60,40,40,40,30,むしのしらせ,ふみん,スナイパー,n167,exact
アリアドス,むし,どく,70,90,70,60,70,40,むしのしらせ,ふみん,スナイパー,n168,exact
チョンチー,みず,でんき,75,38,38,56,56,67,ちくでん,はっこう,ちょすい,n170,exact
ランターン,みず,でんき,125,58,58,76,76,67,ちくでん,はっこう,ちょすい,n171,exact
トゲピー,フェアリー,,35,20,65,40,65,20,はりきり,てんのめぐみ,きょううん,n175,exact
トゲチック,フェアリー,ひこう,55,40,85,80,105,40,はりきり,てんのめぐみ,きょううん,n176,exact
トゲキッス,フェアリー,ひこう,85,50,95,120,115,80,はりきり,てんのめぐみ,きょううん,n468,exact
ネイティ,エスパー,ひこう,40,50,45,70,45,70,シンクロ,はやおき,マジックミラー,n177,exact
ネイティオ,エスパー,ひこう,65,75,70,95,70,95,シンクロ,はやおき,マジックミラー,n178,exact
メリープ,でんき,,55,40,40,65,45,35,せいでんき,プラス,,n179,exact
モココ,でんき,,70,55,55,80,60,45,せいでんき,プラス,,n180,exact
デンリュウ,でんき,,90,75,85,115,90,55,せいでんき,プラス,,n181,exact
メガデンリュウ,でんき,ドラゴン,90,95,105,165,110,45,かたやぶり,,,n181m,exact
ルリリ,ノーマル,フェアリー,50,20,40,20,40,20,あついしぼう,ちからもち,そうしょく,n298,exact
マリル,みず,フェアリー,70,20,50,20,50,40,あついしぼう,ちからもち,そうしょく,n183,exact
マリルリ,みず,フェアリー,100,50,80,60,80,50,あついしぼう,ちからもち,そうしょく,n184,exact
ウソハチ,いわ,,50,80,95,10,45,10,がんじょう,いしあたま,びびり,n438,exact
ウソッキー,いわ,,70,100,115,30,65,30,がんじょう,いしあたま,びびり,n185,exact
ハネッコ,くさ,ひこう,35,35,40,35,55,50,ようりょくそ,リーフガード,すりぬけ,n187,exact
